text,id,date
"I m part of cult fit from past 6 months. Since they are advertising  so much about ""fit cash"" .I ordered some food using fit cash as part payment,as I made payment. MONEY IS GONE AND NO ORDER PLACED #CUREFIT @iHrithik  @iTIGERSHROFF please dont promote such things/apps.",1174021396780875777#,Tue Sep 17 18:04:47 +0000 2019
RT @elijahdaniel: @FISHTANKLlVE 10/10 cult fit,1174010968709484544#,Tue Sep 17 17:23:21 +0000 2019
@FISHTANKLlVE 10/10 cult fit,1174004639630409729#,Tue Sep 17 16:58:12 +0000 2019
@becurefit #WeAreCult @ https://t.co/nA9cWBDIrv Dlf Cyber Greens https://t.co/6oiqolpEle,1173957347624009731#,Tue Sep 17 13:50:17 +0000 2019
To avail the benefits of this discount visit &gt;&gt;  https://t.co/msSIa744ev https://t.co/4rKBrVXalf,1173946110349496320#,Tue Sep 17 13:05:38 +0000 2019
@priyadreamer34 Above 5 unnollake train chestaru...below unte children's cult fit untadi chudu,1173856096361926657#,Tue Sep 17 07:07:57 +0000 2019
How is https://t.co/Ka9686q400 training?,1173854969532862464#,Tue Sep 17 07:03:28 +0000 2019
"@AvinashCKM @BeCureFit And eat https://t.co/BfYjhDkJlj food ;-) 
Me from 110 to 103kgs all because of  https://t.co/VGbvycEgvs",1173805016945217536#,Tue Sep 17 03:44:58 +0000 2019
Last Christmas I bought a nigga a cult fit &amp; other shit &amp; that’s why I’m glad I’m single 😭 I can keep my money to my damn self,1173748699438170113#,Tue Sep 17 00:01:11 +0000 2019
My answer to What is the difference between cult fit and https://t.co/wHHw2EAoJP? https://t.co/HicYaAphsm,1173579691988590593#,Mon Sep 16 12:49:37 +0000 2019
"@HaramiParindey @BeCureFit Love Cult Fit. They keep changing their routines to ensure it doesn't get repetitive and boring. Also, the positive energy of the class really helps push oneself.",1173565375776079872#,Mon Sep 16 11:52:44 +0000 2019
Is cult fit worth the high price? https://t.co/AweFUpw4KY,1173560738616696832#,Mon Sep 16 11:34:18 +0000 2019
Chakra crystals for your etheric and energetic #wellbeing @ https://t.co/6U2x9t1WGZ https://t.co/aCNXCJEEEO,1173452660743254016#,Mon Sep 16 04:24:50 +0000 2019
"@CRED_support hello team, do you have a tie up with any gym except cult fit? Like gold's gym or e-gym in Mumbai?",1173424948540391425#,Mon Sep 16 02:34:43 +0000 2019
"RT @HaramiParindey: Anyone here going to Cult Fit @BeCureFit ? Is it better than a regular gym, and worth the money?",1173260801009782784#,Sun Sep 15 15:42:27 +0000 2019
@HaramiParindey @BeCureFit I am regular to Cult Fit. And it is far better than a regular gym. In cult fit they have supervised workout sessions. And it is value for money but on a pricey side. Everyday they have different form of workouts so you won't get bored.,1173236877832245248#,Sun Sep 15 14:07:24 +0000 2019
"Review: https://t.co/SVcdNiXEG9 or https://t.co/tkWYrh5OSw

My painful experiences with Cult
https://t.co/FdKFGDuDKW

#cult #curefit #hrx #HrithikvsTiger #fitnessmotivation",1173231683954331649#,Sun Sep 15 13:46:45 +0000 2019
"@HaramiParindey @BeCureFit I was regular there (not recently because of something urgent back home) and now I'll explain how  https://t.co/35MSIL0lhl can help someone who is serious about health.
I started going last October, and did boxing mostly. It's a good cardio excercise.",1173230841188638721#,Sun Sep 15 13:43:24 +0000 2019
"#RT @HaramiParindey: Anyone here going to Cult Fit @BeCureFit ? Is it better than a regular gym, and worth the money?",1173230136516337670#,Sun Sep 15 13:40:36 +0000 2019
"Anyone here going to Cult Fit @BeCureFit ? Is it better than a regular gym, and worth the money?",1173229653772816390#,Sun Sep 15 13:38:41 +0000 2019
"@ray_soumik @dhirajsingh91 Yes, you can do that in any of our https://t.co/STYmxvM6bz centres.",1173158451863797762#,Sun Sep 15 08:55:45 +0000 2019
iPhone is the cult fit of cellphones,1173095688642551808#,Sun Sep 15 04:46:21 +0000 2019
@priyamucharla You mean cult fit? https://t.co/8UlWB2bLiB,1172914116391919616#,Sat Sep 14 16:44:51 +0000 2019
"Another massive and a stunning session by cult 🤘🤘🤘

#fitnesslife 
#becurefit💪 
#iamcult @ Cult Fit https://t.co/VsDLZyXcAr",1172745274550312960#,Sat Sep 14 05:33:56 +0000 2019
"@blrcitytraffic struggling to get an emission certificate. They ran out of sticker other day and machine not working today. IOC Petrol Pump, Bellandur near Cult fit. Pls. provide alternative centre location",1172540318941466625#,Fri Sep 13 15:59:31 +0000 2019
"Srsly this is so true. My daily workouts at Cult Fit has been super beneficial to my mental health, just need that daily exercise tbh. https://t.co/9vwdwkVqMR",1172457976080125952#,Fri Sep 13 10:32:19 +0000 2019
Finally! Not a leg day! @ Cult Fit Hauz Khas https://t.co/oKADEYd79w,1172197263508156416#,Thu Sep 12 17:16:20 +0000 2019
"Here's to your dream of getting that body! We'll give you the push Get https://t.co/1eEgVp9h7h by @BeCureFit free for 10 days with Times Prime

Subscribe Now!
https://t.co/Wm40R1dQRe

#TimesPrime #CultFit https://t.co/rqJHGuSyE0",1172155402986934273#,Thu Sep 12 14:30:00 +0000 2019
"@murali772 @timesofindia Even @BeCureFit calling itself a health n wellness company places it's DG set on footpath causes inconvenience n pollution for commuters 

https://t.co/sj5ZPsUXuQ",1172150646658617344#,Thu Sep 12 14:11:06 +0000 2019
"RT @Fotobubbles: Promo video of https://t.co/qm3yMCwftL TVC of ads shot by us!
Tell us in the comment section if you like it😍
.
.
#shoot #p…",1172135060490919936#,Thu Sep 12 13:09:10 +0000 2019
"Promo video of https://t.co/qm3yMCwftL TVC of ads shot by us!
Tell us in the comment section if you like it😍
.
.
#shoot #photooftheday #photography #cinematography #video #filmmaking #film https://t.co/r9xiQVfShz",1172132904702529536#,Thu Sep 12 13:00:36 +0000 2019
"@sen_shahana @Kashh_yup Very well concluded. I meant, branding these days, say https://t.co/jcy8fFMTjC or https://t.co/CjXjKmV5Oc has commercialized. Not targeting them, they can do business in any stream, but for a laymen like me, will fall in these fancy fitness regimes.",1172067578023297025#,Thu Sep 12 08:41:01 +0000 2019
I feel like I lost my dance moves. I don't know if it is because the trainer at cult fit asked me to move like Nicki Minaj. #FitIndiaMovement,1171626918271053824#,Wed Sep 11 03:29:59 +0000 2019
"@Vicky12232278 Hey Vicky! Happy to know your brother wants to be a part of https://t.co/STYmxvM6bz Can you please DM us? 

https://t.co/mCpubw9IM4",1171608890573840385#,Wed Sep 11 02:18:21 +0000 2019
Any advice on if I should take membership of a gym or cult fit? Is the extra 6k a year worth it for cult?,1171135515694755841#,Mon Sep 09 18:57:20 +0000 2019
RT @harshajain1311: First sess and already loving the vibe!! #wearecult #cult.fit,1171129646521282566#,Mon Sep 09 18:34:00 +0000 2019
"We bring to you the ultimate fitness package curated by https://t.co/1eEgVpqRYP by @BeCureFit and preferred by celebrities. 
Plus, you also get amazing offers on https://t.co/NLln556bVU by @BeCureFit only with #TimesPrime.

Subscribe Now! https://t.co/QriWtRH2xP

#CultFit #EatFit https://t.co/bSvyG0HeIi",1171079607472119809#,Mon Sep 09 15:15:10 +0000 2019
"I'm seeing a lot of https://t.co/7W94Cjx5tn updates on my timelines. Is there any exciting offer or is this the gym everyone looks out for with good training facilities?

#Secunderabad @BeCureFit",1170916895135944704#,Mon Sep 09 04:28:37 +0000 2019
text,id,date
