text,id,date
"RT @BigkartDeal: #GiveAway We have 2 https://t.co/3aje4TqNif coupons. 

If you need comment below and Retweet this tweet.

Pls RT and Share",1174222613381558273#,Wed Sep 18 07:24:21 +0000 2019
"RT @BigkartDeal: #GiveAway We have 2 https://t.co/3aje4TqNif coupons. 

If you need comment below and Retweet this tweet.

Pls RT and Share",1174208437821104128#,Wed Sep 18 06:28:01 +0000 2019
@BeCureFit Still doesnt justify a dish of 99 on https://t.co/yX1PT4RegN being charged 185 on @Zomato . https://t.co/Yu4ImtKjdT is right the term for this. @UberEats  @swiggy_in @FreshMenuIndia,1174208155909337089#,Wed Sep 18 06:26:54 +0000 2019
"@Barrettorichard Hey Richard, we are happy to know you are interested in https://t.co/x2SUyVspFb services. Currently, we are still expanding our serviceability.",1174206793268043777#,Wed Sep 18 06:21:29 +0000 2019
"RT @BigkartDeal: #GiveAway We have 2 https://t.co/3aje4TqNif coupons. 

If you need comment below and Retweet this tweet.

Pls RT and Share",1174202524057968640#,Wed Sep 18 06:04:32 +0000 2019
"RT @BigkartDeal: #GiveAway We have 2 https://t.co/3aje4TqNif coupons. 

If you need comment below and Retweet this tweet.

Pls RT and Share",1174201560831840256#,Wed Sep 18 06:00:42 +0000 2019
"RT @BigkartDeal: #GiveAway We have 2 https://t.co/3aje4TqNif coupons. 

If you need comment below and Retweet this tweet.

Pls RT and Share",1174201083939475457#,Wed Sep 18 05:58:48 +0000 2019
"RT @BigkartDeal: #GiveAway We have 2 https://t.co/3aje4TqNif coupons. 

If you need comment below and Retweet this tweet.

Pls RT and Share",1174186388020977664#,Wed Sep 18 05:00:24 +0000 2019
"RT @BigkartDeal: #GiveAway We have 2 https://t.co/3aje4TqNif coupons. 

If you need comment below and Retweet this tweet.

Pls RT and Share",1174181029927620610#,Wed Sep 18 04:39:07 +0000 2019
"RT @BigkartDeal: #GiveAway We have 2 https://t.co/3aje4TqNif coupons. 

If you need comment below and Retweet this tweet.

Pls RT and Share",1174179180935819264#,Wed Sep 18 04:31:46 +0000 2019
"RT @BigkartDeal: #GiveAway We have 2 https://t.co/3aje4TqNif coupons. 

If you need comment below and Retweet this tweet.

Pls RT and Share",1174178454062993408#,Wed Sep 18 04:28:53 +0000 2019
"RT @BigkartDeal: #GiveAway We have 2 https://t.co/3aje4TqNif coupons. 

If you need comment below and Retweet this tweet.

Pls RT and Share",1174170199077085184#,Wed Sep 18 03:56:05 +0000 2019
"RT @BigkartDeal: #GiveAway We have 2 https://t.co/3aje4TqNif coupons. 

If you need comment below and Retweet this tweet.

Pls RT and Share",1174163100422922240#,Wed Sep 18 03:27:52 +0000 2019
"RT @BigkartDeal: #GiveAway We have 2 https://t.co/3aje4TqNif coupons. 

If you need comment below and Retweet this tweet.

Pls RT and Share",1174162028958609409#,Wed Sep 18 03:23:37 +0000 2019
"RT @BigkartDeal: #GiveAway We have 2 https://t.co/3aje4TqNif coupons. 

If you need comment below and Retweet this tweet.

Pls RT and Share",1174158310716559360#,Wed Sep 18 03:08:50 +0000 2019
"RT @BigkartDeal: #GiveAway We have 2 https://t.co/3aje4TqNif coupons. 

If you need comment below and Retweet this tweet.

Pls RT and Share",1174155434673836032#,Wed Sep 18 02:57:25 +0000 2019
"RT @BigkartDeal: #GiveAway We have 2 https://t.co/3aje4TqNif coupons. 

If you need comment below and Retweet this tweet.

Pls RT and Share",1174151503054925824#,Wed Sep 18 02:41:47 +0000 2019
"#GiveAway We have 2 https://t.co/3aje4TqNif coupons. 

If you need comment below and Retweet this tweet.

Pls RT and Share",1174151475825541120#,Wed Sep 18 02:41:41 +0000 2019
"#ambition, #beast, #beastmode, #bjj, #brazilianjiujitsu, #determination, #eat, #fit, @fitbodapp, #fitness, #food, #goals, #gym, #gymlife, #man, #muscle, planetfitness, #power, #powerlifting, #strength,… https://t.co/EHQAdXK1wm",1174118736388923393#,Wed Sep 18 00:31:35 +0000 2019
"🔴 You can only buy if u have gained some magic pin points previously

Open magicpin app, search for ""Eat fit"" and buy voucher",1173997569761955841#,Tue Sep 17 16:30:07 +0000 2019
"Eat Fit 99₹ Voucher at Magicpin For ₹0 + Group Buy &amp; Get extra 68 magicpin points cashback when your two friends buy the voucher with your group buy link

Code : EATFIT99

New to magicpin? Use link : https://t.co/X58VE5M7pR

🔴 Code is getting applied multiple times https://t.co/rnCyS8dkRC",1173997566993633281#,Tue Sep 17 16:30:06 +0000 2019
"Eat Fit || Tasty snack ideas to make and take to work !

https://t.co/FYi9t96Pbc

#kfef #eatfit #snacks #work https://t.co/DbOinzWO1G",1173990498400374788#,Tue Sep 17 16:02:01 +0000 2019
"The Truth About Cancer Prevention And Owning Optimum Health https://t.co/WPcrh6hhpa
.
💝Like and Share if you're loving this💝
.
#freedom #getwellsoon #livefree #cleanfood #eatwell #lovely #eat #fit #instafit #fitgirl https://t.co/BYJbT35lQ6",1173989848211845121#,Tue Sep 17 15:59:26 +0000 2019
rajma is shit eh eat fit gadu mosam 2 spoons ye rice https://t.co/E2emEZBqoe,1173978495434706944#,Tue Sep 17 15:14:19 +0000 2019
