text,id,date
"@Amazingdeals360 For referral benefits use below link for eatfit...

Click link for extra 25% off up to Rs 1000 on your 1st purchase of cult pack..
 https://t.co/mP8bfEunnW",1174045402166775808#,Tue Sep 17 19:40:11 +0000 2019
"Eat Fit || Tasty snack ideas to make and take to work !

https://t.co/FYi9t96Pbc

#kfef #eatfit #snacks #work https://t.co/DbOinzWO1G",1173990498400374788#,Tue Sep 17 16:02:01 +0000 2019
"FOOD LOOT : Get 100% Cashback up to ₹125 for all users on Eatfit orders only on Apps on PhonePe

General Terms And Conditions :-

Minimum order value ₹99

Offer Period - 13th September 2019 to 17th September 2019
https://t.co/w5i3UyNiEp
#500LeRiaHai
#HappyBdayPMModi",1173945430297546753#,Tue Sep 17 13:02:56 +0000 2019
"Eatfit truly &amp; whole heartedly supports his mission of #FITINDIA &amp; takes immense pride in announcing the CORPORATE WELLNESS PROGRAM..
#CorporateWellnessProgram #HappyBdayPMModi #HappyBirthdayPM #NarendraModuBirthday  #NutritionistShwetaShah
https://t.co/K65ioqnkST",1173935172372185089#,Tue Sep 17 12:22:10 +0000 2019
"Eat Fit || Japanese broth with Udon noodles .

https://t.co/7bBc5lrWPw

#kfef #eatfit #noodle #soup https://t.co/09iqgR1pSC",1173918781636337665#,Tue Sep 17 11:17:02 +0000 2019
Last day of #Phonepe - #Eatfit offer https://t.co/walEoflRyO,1173911218899210241#,Tue Sep 17 10:46:59 +0000 2019
"High on Taste, Great on Diet, Low on price! Get 40% OFF  + 20% OFF on Eat Fit

Order on Zomato and use coupon code: ZOMATO  #EatFit #EatFitCouponCode #ZomatoCode #ZomatoCouponCode https://t.co/uxRGX61hfc https://t.co/uFiPvghALV",1173900964878868480#,Tue Sep 17 10:06:14 +0000 2019
"RT @KeepFitEatFit: Eat Fit || Grilled Chicken Tostadas al Carbon with Grilled Tomatillos and Queso Fresco

https://t.co/0MqdxteoNk

#kfef #…",1173629876798140416#,Mon Sep 16 16:09:02 +0000 2019
"Eat Fit || Grilled Chicken Tostadas al Carbon with Grilled Tomatillos and Queso Fresco

https://t.co/0MqdxteoNk

#kfef #eatfit #tosadas #cheese https://t.co/YO9sEnjogE",1173628124531240960#,Mon Sep 16 16:02:04 +0000 2019
"@RishiKu24478225 @Techglares Ya bro cashback...

Incase u haven't used...

From phonepe 100% cashback..
Download eatfit using below link then go to phonepe app and select eatfit and order...
 https://t.co/mP8bfEunnW",1173624128563073025#,Mon Sep 16 15:46:11 +0000 2019
"@Cin2_Varma From phonepe 100% cashback..
Download eatfit using below link then go to phonepe app and select eatfit and order...
 https://t.co/mP8bfEunnW",1173624025970397184#,Mon Sep 16 15:45:47 +0000 2019
"Eat Fit || This is an awesome breakfast idea from Waitrose !

https://t.co/B89mkjZKsw

#kfef #eatfit #breakfast https://t.co/woZUeP5KHR",1173556389580562434#,Mon Sep 16 11:17:01 +0000 2019
"Chilli Beef Ramen
📲 Get the recipe: https://t.co/W55utGT1PY

Recipe credit: Globe Scoffers

#mealplan #homecookedmeals #mealprepideas #eatfit #eatandshout #homecookeddinner #mealplanner #recipesharing https://t.co/RulnkAGbeD",1173513858645929984#,Mon Sep 16 08:28:01 +0000 2019
"RT @RoliSrivastava5: Found a worm in my eatfit meal today, active and alive
@BeCureFit https://t.co/i21sABNppE",1173513110440697856#,Mon Sep 16 08:25:03 +0000 2019
"Found a worm in my eatfit meal today, active and alive
@BeCureFit https://t.co/i21sABNppE",1173512473543970816#,Mon Sep 16 08:22:31 +0000 2019
"@BeCureFit It provides pleasure to find non-plastic cutlery, good to see the small carton pack but disappointed as the papad should also been in carton pack instead of plastic. Please mind https://t.co/V45Rp57nHz #eatfit https://t.co/P1Z5hH4O7d",1173507456976203776#,Mon Sep 16 08:02:35 +0000 2019
"@BeCureFit 
Hi 
I couldn't answer the delivery executives call

Could you please reschedule the eatfit order delivery?",1173503208515235840#,Mon Sep 16 07:45:42 +0000 2019
"RT @BeCureFit: We've now opened our #EatFit kitchens in Ahmedabad &amp; Mysore! ♥️👩‍🍳👨‍🍳

Bengaluru, Delhi, Mumbai, Hyderabad, Chennai, Jaipur,…",1173456030946058240#,Mon Sep 16 04:38:14 +0000 2019
"Eat Fit || Greek Grilled Vegetable Bowls

 https://t.co/gPjwnEF6sx

#kfef #eatfit #greek #food https://t.co/kGUxqtNQKl",1173265725445812224#,Sun Sep 15 16:02:01 +0000 2019
"RT @BeCureFit: We've now opened our #EatFit kitchens in Ahmedabad &amp; Mysore! ♥️👩‍🍳👨‍🍳

Bengaluru, Delhi, Mumbai, Hyderabad, Chennai, Jaipur,…",1173228579158515718#,Sun Sep 15 13:34:25 +0000 2019
"Eat Fit|| 35 Quick and Healthy Low-Calorie Lunches

https://t.co/WFur35gYwg

#kfef #keepfit #eatfit #lunches https://t.co/tk9y8q5loq",1173194001463369733#,Sun Sep 15 11:17:01 +0000 2019
EatFit lo okka egg biryani order chesthe inni items pampaadu mahanubaavudu https://t.co/IuKSZtSprj,1173166624880218113#,Sun Sep 15 09:28:14 +0000 2019
"RT @Amazingdeals360: Phonepe :  eatfit 100% cashback

T&amp;c : https://t.co/tgFjgBPfB2

🔴 Offer is valid on three orders (once per day, per us…",1173137777761800192#,Sun Sep 15 07:33:36 +0000 2019
"RT @BeCureFit: We've now opened our #EatFit kitchens in Ahmedabad &amp; Mysore! ♥️👩‍🍳👨‍🍳

Bengaluru, Delhi, Mumbai, Hyderabad, Chennai, Jaipur,…",1172964159417274368#,Sat Sep 14 20:03:42 +0000 2019
Anyone tried Eatfit food ?? At curefit ??,1172947205549748224#,Sat Sep 14 18:56:20 +0000 2019
"veg thali.
I am a pure vegetarian person, I was having holy fast today, I thought to let's eat with some good food with eatfit.
Let me know what to do with this, how will you compansate on this.
Else I am gonna raise it with consumer court etc.",1172933513827405824#,Sat Sep 14 18:01:56 +0000 2019
"@ZomatoIN veg thali.

I am a pure vegetarian person, I was having holy fast today, I thought to let's eat with some good food with eatfit. But this eaxperiance became worst experience of my life.

Let me know what to do with this, how will you compansate on this.",1172933244150398976#,Sat Sep 14 18:00:52 +0000 2019
"@zomatocare veg thali.
I am a pure vegetarian person, I was having holy fast today, I thought to let's eat with some good food with eatfit. But this eaxperiance became worst experience of my life
Let me know what to do with this, how will you compansate on this",1172933109899116544#,Sat Sep 14 18:00:20 +0000 2019
"@ZomatoIN veg thali.
I am a pure vegetarian person, I was having holy fast today, I thought to let's eat with some good food with eatfit. But this eaxperiance became worst experience of my life.
Let me know what to do with this, how will you compansate on this.",1172932977640099840#,Sat Sep 14 17:59:48 +0000 2019
"RT @BeCureFit: We've now opened our #EatFit kitchens in Ahmedabad &amp; Mysore! ♥️👩‍🍳👨‍🍳

Bengaluru, Delhi, Mumbai, Hyderabad, Chennai, Jaipur,…",1172912915394920448#,Sat Sep 14 16:40:05 +0000 2019
"RT @KeepFitEatFit: Eat Fit || 5 Keto Soup Recipes Because Fall Is Coming (!!!)

https://t.co/DHN8xJju8H

#kfef #eatfit #soup https://t.co/U…",1172905747933532160#,Sat Sep 14 16:11:36 +0000 2019
"Eat Fit || 5 Keto Soup Recipes Because Fall Is Coming (!!!)

https://t.co/DHN8xJju8H

#kfef #eatfit #soup https://t.co/UYYCJRlooI",1172903338863747074#,Sat Sep 14 16:02:02 +0000 2019
RT @mahesh_4you: @KumarRavindr6 @GustavoFring999 @binaryca @Techglares Go-to phonepe app.. open apps section.. in that register in eatfit a…,1172885335744774144#,Sat Sep 14 14:50:29 +0000 2019
"@BeCureFit How about which city should #EatFit next?

Also, Kolkata! Domesticate their street food into healthier options!",1172884252335079424#,Sat Sep 14 14:46:11 +0000 2019
@BeCureFit Chandigarh #eatfit,1172881069843963908#,Sat Sep 14 14:33:32 +0000 2019
"RT @BeCureFit: We've now opened our #EatFit kitchens in Ahmedabad &amp; Mysore! ♥️👩‍🍳👨‍🍳

Bengaluru, Delhi, Mumbai, Hyderabad, Chennai, Jaipur,…",1172871272897712128#,Sat Sep 14 13:54:37 +0000 2019
"RT @BeCureFit: We've now opened our #EatFit kitchens in Ahmedabad &amp; Mysore! ♥️👩‍🍳👨‍🍳

Bengaluru, Delhi, Mumbai, Hyderabad, Chennai, Jaipur,…",1172869581888610306#,Sat Sep 14 13:47:53 +0000 2019
@Vj7781 @GustavoFring999 @Techglares Go-to phonepe app.. open apps section.. in that register in eatfit app.. open app.. there u will get 100% cashback upto 125rs.. 3 times per user.. once per day..,1172863766859370501#,Sat Sep 14 13:24:47 +0000 2019
@Abhitweetzz @GustavoFring999 @Techglares Go-to phonepe app.. open apps section.. in that register in eatfit app.. open app.. there u will get 100% cashback upto 125rs.. 3 times per user.. once per day..,1172863742662438913#,Sat Sep 14 13:24:41 +0000 2019
@naniyouthicon @GustavoFring999 @Techglares Go-to phonepe app.. open apps section.. in that register in eatfit app.. open app.. there u will get 100% cashback upto 125rs,1172863583866114051#,Sat Sep 14 13:24:03 +0000 2019
@KumarRavindr6 @GustavoFring999 @binaryca @Techglares Go-to phonepe app.. open apps section.. in that register in eatfit app.. open app.. there u will get 100% off upto 125rs..,1172862458811207680#,Sat Sep 14 13:19:35 +0000 2019
"@urstrulyTK First Register in eatfit using below link... Then go to phonepe app - apps section select eatfit and order anything get 100% Upto 125rs cashback
 https://t.co/mP8bfEunnW",1172861221269168133#,Sat Sep 14 13:14:40 +0000 2019
