text,id,date
"PMKVY YUVA trainee FM @PrimeroSkills CR Park PS, south dist  Abhishek joins Cultfit @DCPSouthDelhi @LtGovDelhi @DelhiPolice @DrMNPandeyMP @NSDCINDIA @MSDESkillIndia #YUVAempowersYouth https://t.co/8XYdLolCoH",1174216401416052737#,Wed Sep 18 06:59:40 +0000 2019
"RT @yootifool: Just saw the Bangalore mascot!!! Wearing a PhonePe tee shirt and a Bounce helmet, carrying a CultFit bag, riding a Yulu...I…",1173888938215268354#,Tue Sep 17 09:18:27 +0000 2019
@HaramiParindey @BeCureFit Hmmm. I don't think I'm the best person to guide in that case. Cultfit motivated me to take an initiative to become healthy and I'm glad I took a membership. You can try out the 2 trial classes or get a 30 month trial using Cred app. I can refer,1173232846309224449#,Sun Sep 15 13:51:22 +0000 2019
"@BeCureFit independence celebrated in many dance fitness sessions and Ganesh festival too. Now it's time to celebrate ""Garba""
2 minutes track should be included for 9 nights of navratri 
@iHrithik 
#Cultfit #DanceFitness #WeAreCult",1172571225555554304#,Fri Sep 13 18:02:20 +0000 2019
"Business models are rapidly evolving, for good !
After health food, now sports gear from health-tech company (initially thought so by everyone)
@CultFit 
#fitnessgoals https://t.co/SuKMvtBpId",1172528033858641920#,Fri Sep 13 15:10:42 +0000 2019
"This is core Hatha yoga #CultFit one hour, intense but relatively a beginner! #FridayMotivation https://t.co/HFyG4wiSRb",1172522611747643392#,Fri Sep 13 14:49:09 +0000 2019
"RT @suman_rd: There is unemployment in India because 
Millennials are daily getting

₹75 from freshmenu
₹100 from cultfit
₹800 from Lenskar…",1172475154682695681#,Fri Sep 13 11:40:35 +0000 2019
"There is unemployment in India because 
Millennials are daily getting

₹75 from freshmenu
₹100 from cultfit
₹800 from Lenskart #NirmalaSitharaman",1172417503156301825#,Fri Sep 13 07:51:29 +0000 2019
#curefit #cultfit disappointing. I'm selling my cult membership. Any takers?,1172343928978378752#,Fri Sep 13 02:59:08 +0000 2019
"*hiring product manager at Cultfit*
Candidate: ""So what would my job be?""
Hiring manager:"" You have to create new categories of products according to the needs and demands of the millennial audience""
C:""Say no more"" https://t.co/VHM2ZstJ3M",1172214519881289728#,Thu Sep 12 18:24:54 +0000 2019
"Here's to your dream of getting that body! We'll give you the push Get https://t.co/1eEgVp9h7h by @BeCureFit free for 10 days with Times Prime

Subscribe Now!
https://t.co/Wm40R1dQRe

#TimesPrime #CultFit https://t.co/rqJHGuSyE0",1172155402986934273#,Thu Sep 12 14:30:00 +0000 2019
"Like this, an industry waiting for the disruption is Health Care. Something like what #cultfit guys are doing.

Hospitals are the worst place to be at.",1172126655227150336#,Thu Sep 12 12:35:46 +0000 2019
#curefit #cultfit #Boxing Till few days back I used to get the fitcash but now it's gone. Fitcash got affected by our GDP? https://t.co/QIeqCaTjCg,1172040402276237312#,Thu Sep 12 06:53:02 +0000 2019
Say Hello to my latest Video #cultfit #swafacefilms #tvcommercials https://t.co/NzCXkdTFpZ,1172039052834590721#,Thu Sep 12 06:47:40 +0000 2019
