text,id,date
"@Amazingdeals360 For referral benefits use below link for eatfit...

Click link for extra 25% off up to Rs 1000 on your 1st purchase of cult pack..
 https://t.co/mP8bfEunnW",1174045402166775808#,Tue Sep 17 19:40:11 +0000 2019
"@priyadreamer34 Check this out Priya ..

Click link for extra 25% off up to Rs 1000 on your 1st purchase of cult pack..
 https://t.co/mP8bfEunnW",1174045008015450112#,Tue Sep 17 19:38:37 +0000 2019
"Raspberry Ketones Natural Diet Pills Fat Burner Appetite Suppressant &amp; it increases the body’s natural ability to oxide fat 
https://t.co/1dAMjWnpeq
#weightloss #fatloss #energy #workouts #healthy #eat #fitness #getfit #wellness #nutrition #cure #fit  #herbs #diet #HealthyFood https://t.co/fxoX8eD4li",1174025159289626624#,Tue Sep 17 18:19:44 +0000 2019
@becurefit #WeAreCult @ https://t.co/nA9cWBDIrv Dlf Cyber Greens https://t.co/6oiqolpEle,1173957347624009731#,Tue Sep 17 13:50:17 +0000 2019
#wheatgrass #wheatgrassjuice #greenblood #health #healthbenefit #cure #fit #cancer #diabetes #gainweight #loseweịght #ordertoday #vitamin #protein https://t.co/AYlmKciAWx,1173931795353493505#,Tue Sep 17 12:08:45 +0000 2019
#wheatgrass #wheatgrassjuice #greenblood #health #healthbenefit #cure #fit #cancer #diabetes #gainweight #loseweịght #ordertoday #vitamin #protein https://t.co/YnMs5La0si,1173931702223159296#,Tue Sep 17 12:08:23 +0000 2019
#wheatgrass #wheatgrassjuice #greenblood #health #healthbenefit #cure #fit #cancer #diabetes #gainweight #loseweịght #ordertoday #vitamin #protein https://t.co/pNcKpWb3kt,1173931581674622976#,Tue Sep 17 12:07:54 +0000 2019
#wheatgrass #wheatgrassjuice #greenblood #health #healthbenefit #cure #fit #cancer #diabetes #gainweight #loseweịght #ordertoday #vitamin #protein https://t.co/7bQ5R5rKLl,1173931493179023360#,Tue Sep 17 12:07:33 +0000 2019
How is https://t.co/Ka9686q400 training?,1173854969532862464#,Tue Sep 17 07:03:28 +0000 2019
"@AvinashCKM @BeCureFit And eat https://t.co/BfYjhDkJlj food ;-) 
Me from 110 to 103kgs all because of  https://t.co/VGbvycEgvs",1173805016945217536#,Tue Sep 17 03:44:58 +0000 2019
"@HaramiParindey @BeCureFit Cult is best to loose weight and for cardio... 

Click on my link for extra 25% off up to Rs 1000 on your 1st purchase. https://t.co/mP8bfEunnW",1173642604493209600#,Mon Sep 16 16:59:36 +0000 2019
"@RishiKu24478225 @Techglares Ya bro cashback...

Incase u haven't used...

From phonepe 100% cashback..
Download eatfit using below link then go to phonepe app and select eatfit and order...
 https://t.co/mP8bfEunnW",1173624128563073025#,Mon Sep 16 15:46:11 +0000 2019
"@Cin2_Varma From phonepe 100% cashback..
Download eatfit using below link then go to phonepe app and select eatfit and order...
 https://t.co/mP8bfEunnW",1173624025970397184#,Mon Sep 16 15:45:47 +0000 2019
My answer to What is the difference between cult fit and https://t.co/wHHw2EAoJP? https://t.co/HicYaAphsm,1173579691988590593#,Mon Sep 16 12:49:37 +0000 2019
"Case Study: How https://t.co/OR3OS6pQqW Used Technology &amp; Advertising To Disrupt The Market To Their Advantage: https://t.co/Hs1KVw5R5y
#digitalmarketing #advertising #technology #advertisingtechnology",1173538349253939200#,Mon Sep 16 10:05:20 +0000 2019
RT @akm1410: Fascinating story. https://t.co/b6NzkRETVS,1173507184769945600#,Mon Sep 16 08:01:30 +0000 2019
@BeCureFit @deepakmajipatil I’ve done tweetstorms like @deepakmajipatil earlier regarding overcrowding and cure fit didn’t give a shit. I don’t see this as a solution for the overcrowding and crowding of waiting area etc problems. There could be way better solutions without compromising the experience.,1173454002203156481#,Mon Sep 16 04:30:10 +0000 2019
"This Bengaluru-based fitness startup has reinvented marketing by using data-powered insights, writes Krishanu Bhattacharyya a member of the AIM Writers Programme. #technology #curefit #advertising #market #disruption
 https://t.co/NBylmz8kM5",1173453989146439681#,Mon Sep 16 04:30:07 +0000 2019
"This Bengaluru-based fitness startup has reinvented marketing by using data-powered insights, writes Krishanu Bhattacharyya a member of the AIM Writers Programme. #technology #curefit #advertising #market #disruption https://t.co/4jkxF55sJF",1173453976597123072#,Mon Sep 16 04:30:04 +0000 2019
Chakra crystals for your etheric and energetic #wellbeing @ https://t.co/6U2x9t1WGZ https://t.co/aCNXCJEEEO,1173452660743254016#,Mon Sep 16 04:24:50 +0000 2019
"Nice post on K8s migration @BeCureFit :

https://t.co/MVdWrlfFFO

@kubernetesio",1173416809187307520#,Mon Sep 16 02:02:22 +0000 2019
"@HaramiParindey @BeCureFit Rewarding as in you don't just go and workout. They have something called https://t.co/V5ITWtqZNe and https://t.co/KGqoFFSuk8 and so many other things. The app tracks your sleep, the number of steps you take, etc. You can even earn fitcash for each workout that you do (contd)",1173414126313304064#,Mon Sep 16 01:51:43 +0000 2019
"RT @BloombergQuint: LinkedIn's list of top 10 startups where Indians want to work. 

Read: https://t.co/PH1icdiEOP https://t.co/ePzBLXmRlE",1173394467459620864#,Mon Sep 16 00:33:36 +0000 2019
"LinkedIn's list of top 10 startups where Indians want to work. 

Read: https://t.co/PH1icdiEOP https://t.co/ePzBLXmRlE",1173393561565286400#,Mon Sep 16 00:30:00 +0000 2019
"RT @BeCureFit: Here at https://t.co/KCrb1fmszA, we revamped our cloud using Kubernetes! 
Here’s how our engineers use cutting-edge technolo…",1173255608717307904#,Sun Sep 15 15:21:49 +0000 2019
"Review: https://t.co/SVcdNiXEG9 or https://t.co/tkWYrh5OSw

My painful experiences with Cult
https://t.co/FdKFGDuDKW

#cult #curefit #hrx #HrithikvsTiger #fitnessmotivation",1173231683954331649#,Sun Sep 15 13:46:45 +0000 2019
"@HaramiParindey @BeCureFit I was regular there (not recently because of something urgent back home) and now I'll explain how  https://t.co/35MSIL0lhl can help someone who is serious about health.
I started going last October, and did boxing mostly. It's a good cardio excercise.",1173230841188638721#,Sun Sep 15 13:43:24 +0000 2019
"RT @BeCureFit: Here at https://t.co/KCrb1fmszA, we revamped our cloud using Kubernetes! 
Here’s how our engineers use cutting-edge technolo…",1173227240156327936#,Sun Sep 15 13:29:06 +0000 2019
How https://t.co/o9weG2i6SS Used Technology &amp; Advertising To Disrupt The Market To Their Advantage https://t.co/fmKONEqYoy,1173223298261487617#,Sun Sep 15 13:13:26 +0000 2019
"RT @BeCureFit: Here at https://t.co/KCrb1fmszA, we revamped our cloud using Kubernetes! 
Here’s how our engineers use cutting-edge technolo…",1173204835866484737#,Sun Sep 15 12:00:04 +0000 2019
"RT @BeCureFit: Here at https://t.co/KCrb1fmszA, we revamped our cloud using Kubernetes! 
Here’s how our engineers use cutting-edge technolo…",1173204242359705601#,Sun Sep 15 11:57:43 +0000 2019
"RT @BeCureFit: Here at https://t.co/KCrb1fmszA, we revamped our cloud using Kubernetes! 
Here’s how our engineers use cutting-edge technolo…",1173202830888329216#,Sun Sep 15 11:52:06 +0000 2019
"Here at https://t.co/KCrb1fmszA, we revamped our cloud using Kubernetes! 
Here’s how our engineers use cutting-edge technology to optimise resource utilisation on the cloud. 

https://t.co/PKCTirt3KL

#engineering #tech #innovation #startup #techjobs #techblog #k8s  #EngineersDay",1173202808205496320#,Sun Sep 15 11:52:01 +0000 2019
@BeCureFit I had cure fit merchandise vouchers when I bought my membership. However it is not featuring on the app. How do I go about it?,1173168181222891521#,Sun Sep 15 09:34:25 +0000 2019
When is https://t.co/Prt9WtQJG5 planning to launch health insurance yaaa?,1173160882152468480#,Sun Sep 15 09:05:25 +0000 2019
"@ray_soumik @dhirajsingh91 Yes, you can do that in any of our https://t.co/STYmxvM6bz centres.",1173158451863797762#,Sun Sep 15 08:55:45 +0000 2019
@dhirajsingh91 @BeCureFit https://t.co/6aZKw5qI4a has body fat measuring devices ? Should I ask the centre manager ? Haven't seen one in Prestige tech park or pritech. @BeCureFit ?,1173155577733640192#,Sun Sep 15 08:44:20 +0000 2019
@ray_soumik @BeCureFit I use the on-premises body fat composition device at https://t.co/VrUyv1OesU or even physio(s) have them these days.. they use bio-electrical impedance to help you measure the body fat composition.,1173144330929754113#,Sun Sep 15 07:59:39 +0000 2019
"@urstrulyTK First Register in eatfit using below link... Then go to phonepe app - apps section select eatfit and order anything get 100% Upto 125rs cashback
 https://t.co/mP8bfEunnW",1172861221269168133#,Sat Sep 14 13:14:40 +0000 2019
"@Prashan4522 To maximize benefits First Register in eatfit using below link... Then go to phonepe app - apps section select eatfit and order anything get 100% Upto 125rs cashback
 https://t.co/mP8bfEunnW",1172828931948306432#,Sat Sep 14 11:06:22 +0000 2019
"@naniyouthicon To maximize benefits First Register in eatfit using below link... Then go to phonepe app - apps section select eatfit and order anything get 100% Upto 125rs cashback
 https://t.co/mP8bfEunnW",1172828678146805760#,Sat Sep 14 11:05:21 +0000 2019
