text,id,date
"@BeCureFit #1 I have taken the snapshot of this tweet → https://t.co/Rs1r5ys1ZQ in case you delete it.  I am escalation the matter to top leadership → Mujtabha Magrey, Operations @ Curefit
I have a concerned person email.",1174225319831769088#,Wed Sep 18 07:35:06 +0000 2019
@BeCureFit @MdFaseeh If it is not allowed then why there are multiple videos on instagram/twitter which are even liked by curefit personal account?,1174184751743324161#,Wed Sep 18 04:53:54 +0000 2019
Like seriously! Every time i book a class with @BeCureFit I always end up getting a wrong email confirmation for the time of my class. @BeCureFit you guys need to be more efficient. #disappointed #curefit https://t.co/Xig8pTM0Uv,1174054069570351104#,Tue Sep 17 20:14:37 +0000 2019
"I m part of cult fit from past 6 months. Since they are advertising  so much about ""fit cash"" .I ordered some food using fit cash as part payment,as I made payment. MONEY IS GONE AND NO ORDER PLACED #CUREFIT @iHrithik  @iTIGERSHROFF please dont promote such things/apps.",1174021396780875777#,Tue Sep 17 18:04:47 +0000 2019
"This Bengaluru-based fitness startup has reinvented marketing by using data-powered insights, writes Krishanu Bhattacharyya a member of the AIM Writers Programme. #technology #curefit #advertising #market #disruption
 https://t.co/NBylmz8kM5",1173453989146439681#,Mon Sep 16 04:30:07 +0000 2019
"This Bengaluru-based fitness startup has reinvented marketing by using data-powered insights, writes Krishanu Bhattacharyya a member of the AIM Writers Programme. #technology #curefit #advertising #market #disruption https://t.co/4jkxF55sJF",1173453976597123072#,Mon Sep 16 04:30:04 +0000 2019
"Review: https://t.co/SVcdNiXEG9 or https://t.co/tkWYrh5OSw

My painful experiences with Cult
https://t.co/FdKFGDuDKW

#cult #curefit #hrx #HrithikvsTiger #fitnessmotivation",1173231683954331649#,Sun Sep 15 13:46:45 +0000 2019
"@BeCureFit Eat fit joint in electronic City phase 1 refusing to give order through Dunzo app . In zomato it's showing restaurant not accepting order , in curefit app - showing address not servicable . Is there any way customer can purchase stuff from there ?",1173128091755065344#,Sun Sep 15 06:55:07 +0000 2019
Anyone tried Eatfit food ?? At curefit ??,1172947205549748224#,Sat Sep 14 18:56:20 +0000 2019
"@BeCureFit please try to change the menu. It's very tiring to eat same type of chicken curry everyday. I'm ordering from Model town Delhi,and I would really appreciate if you can come up with new curries on menu. 
#curefit",1172931516990537729#,Sat Sep 14 17:54:00 +0000 2019
