text,id,date
Draymond Green n’a pas perdu sa langue pendant l’été : « Personne ne voudra tomber sur nous en Playoffs » https://t.co/f8jpGsAf0s,1172779253001273349#,Sat Sep 14 07:48:57 +0000 2019
"RT YourStoryCo: .DunzoIt can't wait to deliver their best at the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. The big day is on September 20, 2019 at the TurfPark Koramangala in Bengaluru.

#AWSUnicornSportsleague … https://t.co/xu69zvaNJF",1174230136109113346#,Wed Sep 18 07:54:15 +0000 2019
".@DunzoIt can't wait to deliver their best at the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. The big day is on September 20, 2019 at the TurfPark Koramangala in Bengaluru.

#AWSUnicornSportsleague @PlayoApp @awscloud https://t.co/SSBqjIC9PU",1174229803077165059#,Wed Sep 18 07:52:55 +0000 2019
"RT YourStoryCo: It's Olacabs  vs rummycircle at the #AWSUnicornSportsleague, in association with YourStory and Playo. Who will take home the winner's cup on September 20, 2019 at the TurfPark Koramangala in Bengaluru?

Find out more: … https://t.co/8xJaYGizH4",1174228902732075009#,Wed Sep 18 07:49:21 +0000 2019
"It's @Olacabs  vs @rummycircle at the #AWSUnicornSportsleague, in association with YourStory and Playo. Who will take home the winner's cup on September 20, 2019 at the TurfPark Koramangala in Bengaluru?

Find out more: https://t.co/LYuvY3KHYT

@awscloud @PlayoApp https://t.co/wk3laDyzFo",1174228517766213633#,Wed Sep 18 07:47:49 +0000 2019
"RT YourStoryCo: Only 2 days to go for the #AWSUnicornSportsleague in association with YourStory and Playo. Will PlayMPL or bigbasket_com win big in this league? Come find out on September 20, 2019 at the TurfPark Koramangala in Bengaluru.

Find out more:… https://t.co/Ikvc1eG6Rn",1174226497537794049#,Wed Sep 18 07:39:47 +0000 2019
"Only 2 days to go for the #AWSUnicornSportsleague in association with YourStory and Playo. Will @PlayMPL or @bigbasket_com win big in this league? Come find out on September 20, 2019 at the TurfPark Koramangala in Bengaluru.

Find out more: https://t.co/LYuvY3KHYT https://t.co/tLj19kAsXy",1174225335451365376#,Wed Sep 18 07:35:10 +0000 2019
"RT YourStoryCo: DunzoIt  can't wait to deliver their best at the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. The big day is on September 20, 2019 at the TurfPark Koramangala in Bengaluru.

#AWSUnicornSportsleague … https://t.co/vOrVpiB9LX",1174221386010812416#,Wed Sep 18 07:19:29 +0000 2019
"De mis conversaciones conmigo misma:
- ke picha no puedo mimir otra vez, me voy hacer un tecito en vez de mandar clona
- playo y si le echamos clona al té?😜
- hmm i'm in😎",1174220887610073089#,Wed Sep 18 07:17:30 +0000 2019
"RT @YourStoryCo: A competitive spirit is on this week's menu for @swiggy_in. Catch them at the first edition of #AWSUnicornSportsleague , i…",1174218960948084737#,Wed Sep 18 07:09:50 +0000 2019
RT @ArthTiwari98: RT YourStoryCo: A competitive spirit is on this week's menu for swiggy_in. Catch them at the first edition of #AWSUnicorn…,1174218923983745025#,Wed Sep 18 07:09:42 +0000 2019
"RT YourStoryCo: A competitive spirit is on this week's menu for swiggy_in. Catch them at the first edition of #AWSUnicornSportsleague , in association with YourStory and Playo, on September 20, 2019 at the TurfPark Koramangala in Bengaluru.

More Details… https://t.co/pfsdbzfHR7",1174216300253650945#,Wed Sep 18 06:59:16 +0000 2019
"A competitive spirit is on this week's menu for @swiggy_in. Catch them at the first edition of #AWSUnicornSportsleague , in association with YourStory and Playo, on September 20, 2019 at the TurfPark Koramangala in Bengaluru.

More Details: https://t.co/LYuvY3KHYT https://t.co/EzmzyEzSib",1174215727445938177#,Wed Sep 18 06:56:59 +0000 2019
"si sos un playo que se apunta a un revolcón de una noche con un mae con novio, sos igual de mierda que el mae que le está siendo infiel a su pareja. si la monogamia no es lo suyo pues no la practique, así de sencillo.",1174189813395861504#,Wed Sep 18 05:14:01 +0000 2019
@soydarkg Si playo😂,1174187498295255041#,Wed Sep 18 05:04:49 +0000 2019
RT @zeusmx11: Buenos días incestuosos https://t.co/DLZEgWKjEG,1174185544185761793#,Wed Sep 18 04:57:03 +0000 2019
"@Gabriel_campose @GabrielJesusRP Mae si,pero el playo se inspira para jugar y se me pasa o no?😹😹",1174181903672516609#,Wed Sep 18 04:42:35 +0000 2019
"@daniel_camposv Con gusto playo, cuidado no va 😕",1174177666431356929#,Wed Sep 18 04:25:45 +0000 2019
@Zurd28 Hace falta hacer algo Playo 🙌,1174176278490025985#,Wed Sep 18 04:20:14 +0000 2019
"playo a la gente sí le cuadra hacer el papel, mega F",1174170516468486150#,Wed Sep 18 03:57:20 +0000 2019
"RT @YourStoryCo: .@Bigbasket got a bag full of energy in store for the first edition of AWS Unicorn Sports League, in association with Your…",1174169254243049473#,Wed Sep 18 03:52:19 +0000 2019
"RT @YourStoryCo: Mobile Premier League is all geared up for the first edition of AWS Unicorn Sports League, in association with YourStory a…",1174168347295924224#,Wed Sep 18 03:48:43 +0000 2019
"RT @YourStoryCo: .@Bigbasket got a bag full of energy in store for the first edition of AWS Unicorn Sports League, in association with Your…",1174167681169125377#,Wed Sep 18 03:46:04 +0000 2019
"RT @YourStoryCo: .@bigbasket_com is all set to compete at the first edition of AWS Unicorn Sports League, in association with YourStory and…",1174167649976233984#,Wed Sep 18 03:45:57 +0000 2019
"RT @YourStoryCo: AWS Unicorn Sports League, in association with YourStory and Playo will take place on September 20, 2019 at the TurfPark K…",1174165274196697088#,Wed Sep 18 03:36:30 +0000 2019
"RT @YourStoryCo: 3 days until #AWSUnicornSportsLeague, in association with YourStory and Playo, where GO MMT is up against @Razorpay. On Se…",1174165070659629057#,Wed Sep 18 03:35:42 +0000 2019
@Olgermorera JAJAJA playo... top 3 de sus mejores tweets,1174159965226962945#,Wed Sep 18 03:15:25 +0000 2019
RT @danigarrido91: Productos de cuero de la marca @BrYessir ya a la venta en España. Visita su web https://t.co/9fo9aGRJ1z calidad y precio…,1174159886499885056#,Wed Sep 18 03:15:06 +0000 2019
"RT @saradodotado23: 👤 Ativo Liberal • 1,75m • 70kg

💵 Cobro R$250 no meu local

💳 Aceito todos cartões 

🏠 Com local próprio no Jardins - S…",1174159527492669440#,Wed Sep 18 03:13:40 +0000 2019
"RT @Diegor_Barros: Uma taça de vinho tinto diariamente ajuda a manter o coração protegido 🍷♥️😏
https://t.co/6QLWKqBGTo https://t.co/ireAn6Y…",1174159294788493312#,Wed Sep 18 03:12:45 +0000 2019
@krmonge Playo usted ya paga el bus con cedula 🤔,1174157816959066114#,Wed Sep 18 03:06:53 +0000 2019
"Cuando estoy demasiado cansado me pongo súper creativo y todo me sale, es como la respuesta del cuerpo que dice:
“Descansar? Es vara playo jajajsjsjs”",1174156097596416000#,Wed Sep 18 03:00:03 +0000 2019
"La playo de la Jacquelin (me vale verga si me corregis) no me invitó a su cumpleaños en 5to por que en ese mes nos dejamos de hablar, su culo. JAJAJAJAJAJA https://t.co/8a6YLlVIdS",1174152900500762624#,Wed Sep 18 02:47:20 +0000 2019
@Markoky11 y cuántos hijueputas años pensas que tengo playo?,1174152582417276933#,Wed Sep 18 02:46:05 +0000 2019
"@JohnV368 Mordido mae mordidooooo, felicidades playo 🎉",1174144624434327552#,Wed Sep 18 02:14:27 +0000 2019
@dmn_cowboys Sounds like Taco might get to playo,1174141606972334081#,Wed Sep 18 02:02:28 +0000 2019
@al_paco24 Pero si no bebes playo jaja,1174137926780948480#,Wed Sep 18 01:47:50 +0000 2019
@keylor_pm @wanda_leiton 😂ahí no hay respeto playo jajajaj,1174130629220478978#,Wed Sep 18 01:18:50 +0000 2019
RT @royvargas29: @Eddiso21 Antik Playo,1174126629439901697#,Wed Sep 18 01:02:57 +0000 2019
"@_ruli29 Te amo playo, no sabia ni quien era yo",1174125976915271680#,Wed Sep 18 01:00:21 +0000 2019
@_ruli29 @jossfuentess Mae playo usted llegó?? jajajajajajajaj,1174125888998391809#,Wed Sep 18 01:00:00 +0000 2019
"@marvin_piojo Playo Oviedo debe tres millones de atraso, hay que ayudarle",1174125751995654145#,Wed Sep 18 00:59:28 +0000 2019
"RT @YourStoryCo: .@Olacabs says Hola! They're all prepped up for the first edition of AWS Unicorn Sports League, in association with YourSt…",1174124625074081792#,Wed Sep 18 00:54:59 +0000 2019
"@KevinSR_4 @josuechaves19 Playo, yo quizá 👀",1174120487879880704#,Wed Sep 18 00:38:33 +0000 2019
@Eddiso21 Antik Playo,1174118959651676161#,Wed Sep 18 00:32:28 +0000 2019
Rico https://t.co/2mNyrDgdUA,1174115578296066049#,Wed Sep 18 00:19:02 +0000 2019
@_adrianrojas18 Estoy cantando playo😂😂,1174098883053522944#,Tue Sep 17 23:12:42 +0000 2019
"@keylor_willies Playo llevé justificación, hicimos evidencia 😂",1174086921213140992#,Tue Sep 17 22:25:10 +0000 2019
"@JamachidaN @MrCulitango Playo MAEEE X,DD
No se vale, la agresión es demasiada 😂😂😪",1174080147840016384#,Tue Sep 17 21:58:15 +0000 2019
"@cajinamarco04 Que loquera ese día playo, vueltos locos 🤣",1174074519666999299#,Tue Sep 17 21:35:53 +0000 2019
A nadie le gustan los lampiños,1174074378520334336#,Tue Sep 17 21:35:19 +0000 2019
"@ShakoDoggo @xrptipbot WTFuckeooo ... Hey, don't playo whaleo gameo, or me dumpeo ...",1174072205484986369#,Tue Sep 17 21:26:41 +0000 2019
@carlospereztay @BanterFC5 Y Playo 😂😂,1174063461875273735#,Tue Sep 17 20:51:57 +0000 2019
"@jeank_montero Playo me es imposible amar a alguien de ese equipo :/ Hahah sí soy consiente de la capacidad de “ Messi “ y de lo bueno que es el mp, pero igual lo odio 😂😂 pero a este borrego @LuisSuarez9 es el que más odio sí",1174057802144329728#,Tue Sep 17 20:29:27 +0000 2019
"RT @dasegnini: Les molesta que sea playo, que sea loca, que no esté muerto, les molesta que el contenido no es de su consumo, les molesta q…",1174050442650759175#,Tue Sep 17 20:00:12 +0000 2019
