text,id,date
"Ability is greater than disability. 
@swiggy_in great job👍🏼👍🏼 https://t.co/xn3rVYUQ9f",1173617874285367298#,Mon Sep 16 15:21:20 +0000 2019
"..Coz they are nt “disabled”... they are “differently-abled”! Let s learn to see the difference! 
Well done @swiggy_in !
@SwiggyCares https://t.co/uSrcDKRKIw",1173625712143732736#,Mon Sep 16 15:52:29 +0000 2019
"Swiggy doesn't deliver from Lavonne in Domlur, so I usually send Dunzo. Swiggy now has a competing service called Go, so I asked them to pick up from Lavonne. Customer service called and cancelled the order because the store isn't supported.

Competitive expansion fail.",1173464371520888834#,Mon Sep 16 05:11:22 +0000 2019
@SwiggyCares @swiggy_in I have shared the details via DM,1174012481959649280#,Tue Sep 17 17:29:22 +0000 2019
@swiggy_in @SwiggyCares  I ordered 3 items but unfortunately i received 2 items.I explained the same to swiggy executive where he is not even considering my request to place new order and in return offering 40rs coupon which is pathetic being a swiggy super user. https://t.co/TbGRNbrVle,1174012467728379905#,Tue Sep 17 17:29:19 +0000 2019
"RT @rama_rajeswari: Ability is greater than disability. 
@swiggy_in great job👍🏼👍🏼 https://t.co/xn3rVYUQ9f",1174012233052872704#,Tue Sep 17 17:28:23 +0000 2019
"@nitin_gadkari Sir, how can DELIVERY be done by @swiggy_in @SwiggyCares @ZomatoIN @UberEats_IND etc. using private WHITE board vehicles when delivery is done at a charge (paid). Isn’t it necessary to use commercial YELLOW board vehicles? @rishibagree @muglikar_ @FhraiIndia",1174012088546553856#,Tue Sep 17 17:27:48 +0000 2019
Dear @GabbbarSingh and other influencers could you please help to retweet this? I really needed to have dinner tonight as I am not keeping well. Facing issues with @swiggy_in  for long.,1174012050701520897#,Tue Sep 17 17:27:39 +0000 2019
RT @rajakumaari: Swiggy employees maanaada? https://t.co/gx97mcB4pi,1174012024793120768#,Tue Sep 17 17:27:33 +0000 2019
RT @rishibagree: Swiggy &amp; Zomato employs 4.3 lakh delivery partners who earns 25-30k monthly by delivering 3 million orders daily https://t…,1174012016761036800#,Tue Sep 17 17:27:31 +0000 2019
RT @rasikabramh: Today my sis  ordered the aloo paratha from rajdhani hotel Bangalore from swiggy.. She got stapler pin in paratha.. Guys y…,1174012011392323584#,Tue Sep 17 17:27:30 +0000 2019
@MeetUunngLee @swiggy_in https://t.co/US1n55il53,1174011740809379841#,Tue Sep 17 17:26:25 +0000 2019
They are not physically disabled. They are differently abled. Learn the difference. Thank you @swiggy_in for caring. https://t.co/hcMBfkknTq,1174011725563056129#,Tue Sep 17 17:26:22 +0000 2019
"I ordered @Zomato (Order ID-1332483164) &amp; delivery boy denied to come at my office floor &amp; customer care told me that he won’t come at office floor and we are cancelling your order &amp; u will be charged INR348 on next order
I never faced such problem on @swiggy_in @faasos @UberEats",1174011645569327104#,Tue Sep 17 17:26:03 +0000 2019
